,Points,Score,Weigh,,,,,,,,
Mazda RX4,3.9,2.62,16.46,,,,,,,,
Mazda RX4 Wag,3.9,2.875,17.02,,,,FORMULA(STEPS),POINTS,SCORE,WEIGHT,INFERANCE
Datsun 710,3.85,2.32,18.61,,,MEAN,,3.6,3.22,17.85,"* More number of observations near mean
*Probability of Getting Mean is High
*Mean will be influenced by Outliers."
Hornet 4 Drive,3.08,3.215,19.44,,,MEDIAN,"*ARRANGR IN ASSENDIG OR DESSENDING ORDER 
*FOR ODD NUMBER OF OBSERVATIONS


*FOR EVEN NUMBER OF OBSERVATIONS
",3.7,3.33,17.71,"*Media will Not be Influenced by the outliers, there for the we are seeing variations in Mean & Median 
*IN points +ve Outliers are there as Mean < Median
*IN Score +ve Outliers are there as Mean < Median
*IN Weight -ve Outliers are there as Mean > Median"
Hornet Sportabout,3.15,3.44,17.02,,,MODE,*MOST FREQUENTLY OCCURRED NUMBER ,3.92,3.44,17.02,*Median will be useful in the case of Categorical data
Valiant,2.76,3.46,20.22,,,VARIENCE,,0.29,0.96,3.19," *A large number of  Variance  indicates that the data in data set are far from mean and far from each other  and smaller Variance is opposite to larger number's indication.
*Here Weight is having more variance and it indicates that  data points in weight are far from mean & far from each other as compared to Points & Score"
Duster 360,3.21,3.57,15.84,,,STANDARD DIVIATION,,0.53,0.98,1.79,"*Standard Deviation tells us how the spread of data around the Mean of data 
*Here Point's data are closely clustered around the Mean as compared to Others."
Merc 240D,3.69,3.19,20,,,RANGE,Range = Max(xi) - Min(Xi),2.17,3.91,8.4,*Range tells us that how much spread is there from the lowest value to the Highest values.
Merc 230,3.92,3.15,22.9,,,,,,,,
Merc 280,3.92,3.44,18.3,,,,,,,,
Merc 280C,3.92,3.44,18.9,,,,,,,,
Merc 450SE,3.07,4.07,17.4,,,,,,,,
Merc 450SL,3.07,3.73,17.6,,,,,,,,
Merc 450SLC,3.07,3.78,18,,,,,,,,
Cadillac Fleetwood,2.93,5.25,17.98,,,,,,,,
Lincoln Continental,3,5.424,17.82,,,,,,,,
Chrysler Imperial,3.23,5.345,17.42,,,,,,,,
Fiat 128,4.08,2.2,19.47,,,,,,,,
Honda Civic,4.93,1.615,18.52,,,,,,,,
Toyota Corolla,4.22,1.835,19.9,,,,,,,,
Toyota Corona,3.7,2.465,20.01,,,,,,,,
Dodge Challenger,2.76,3.52,16.87,,,,,,,,
AMC Javelin,3.15,3.435,17.3,,,,,,,,
Camaro Z28,3.73,3.84,15.41,,,,,,,,
Pontiac Firebird,3.08,3.845,17.05,,,,,,,,
Fiat X1-9,4.08,1.935,18.9,,,,,,,,
Porsche 914-2,4.43,2.14,16.7,,,,,,,,
Lotus Europa,3.77,1.513,16.9,,,,,,,,
Ford Pantera L,4.22,3.17,14.5,,,,,,,,
Ferrari Dino,3.62,2.77,15.5,,,,,,,,
Maserati Bora,3.54,3.57,14.6,,,,,,,,
Volvo 142E,4.11,2.78,18.6,,,,,,,,
